feedback_id,order_id,review_date,product_review,review_score
FB-00057,ORD-01318,2024-02-03,"Quality is average, expected better.",3
FB-00058,ORD-03108,2024-08-19,"Very good product, exceeded expectations.",5
FB-00059,ORD-03562,2026-05-24,Decent product but packaging could be better.,3
FB-00060,ORD-02042,2025-11-17,Good quality for the price.,4
FB-00061,ORD-01946,2024-11-29,"Quality is average, expected better.",3
FB-00062,ORD-00442,2026-06-07,Decent product but packaging could be better.,3
FB-00063,ORD-04962,2026-04-26,"Product works well, good value for money.",3
FB-00064,ORD-01270,2026-02-19,"Very good product, exceeded expectations.",5
FB-00065,ORD-05561,2024-11-11,Decent product but packaging could be better.,3
FB-00066,ORD-06069,2026-05-14,"Excellent build quality, highly recommend.",5
FB-00067,ORD-01154,2025-08-23,"Very good product, exceeded expectations.",5
FB-00068,ORD-08470,2024-12-15,"Quality is average, expected better.",3
FB-00069,ORD-02157,2026-04-18,"Excellent build quality, highly recommend.",5
FB-00070,ORD-03798,2025-11-28,"Excellent build quality, highly recommend.",5
FB-00071,ORD-09596,2025-11-27,"Product works well, good value for money.",3
FB-00072,ORD-02964,2025-01-13,"Excellent build quality, highly recommend.",5
FB-00073,ORD-09334,2024-07-04,"Poor quality, returned the item.",1
FB-00074,ORD-06418,2025-07-16,Good quality for the price.,4
FB-00075,ORD-02132,2025-05-25,Good quality for the price.,4
FB-00076,ORD-08144,2025-09-29,"Delivered on time, product as described.",5
FB-00077,ORD-08206,2025-04-03,Fast delivery and good product.,4
FB-00078,ORD-02619,2025-10-31,"Great product, very happy with the purchase!",5
FB-00079,ORD-01419,2025-08-15,"Product works well, good value for money.",3
FB-00080,ORD-04529,2025-02-15,Fast delivery and good product.,4
FB-00081,ORD-03983,2026-04-17,Good quality for the price.,4
FB-00082,ORD-04207,2025-07-26,"Okay product, nothing special.",2
FB-00083,ORD-04373,2025-07-13,"Not satisfied, product did not match description.",2
FB-00084,ORD-05746,2026-04-07,"Delivered on time, product as described.",5
FB-00085,ORD-04341,2024-05-17,"Very good product, exceeded expectations.",5
FB-00086,ORD-05311,2024-05-27,Amazing product! Will buy again.,5
FB-00087,ORD-00692,2025-03-26,"Great product, very happy with the purchase!",5
FB-00088,ORD-02254,2026-01-31,Amazing product! Will buy again.,5
FB-00089,ORD-09001,2025-01-13,"Product works well, good value for money.",3
FB-00090,ORD-01159,2025-11-09,Fast delivery and good product.,4
FB-00091,ORD-07275,2024-09-25,"Product works well, good value for money.",3
FB-00092,ORD-06286,2025-01-06,Amazing product! Will buy again.,5
FB-00093,ORD-05043,2024-11-18,Amazing product! Will buy again.,5
FB-00094,ORD-03667,2026-05-15,Amazing product! Will buy again.,5
FB-00095,ORD-07259,2025-10-30,"Great product, very happy with the purchase!",5
FB-00096,ORD-08092,2024-03-03,"Quality is average, expected better.",3
FB-00097,ORD-06828,2024-10-31,Fast delivery and good product.,4
FB-00098,ORD-08321,2026-03-25,"Okay product, nothing special.",2
FB-00099,ORD-04924,2024-04-07,"Poor quality, returned the item.",1
FB-00100,ORD-09707,2024-10-27,"Excellent build quality, highly recommend.",5
FB-00101,ORD-02464,2024-06-08,Fast delivery and good product.,4
FB-00102,ORD-07910,2025-10-20,"Great product, very happy with the purchase!",5
FB-00103,ORD-00633,2025-05-10,"Poor quality, returned the item.",1
FB-00104,ORD-03695,2026-04-22,Satisfied with the purchase overall.,4
FB-00105,ORD-08829,2025-04-10,Fast delivery and good product.,4
FB-00106,ORD-04533,2026-02-14,Satisfied with the purchase overall.,4
FB-00107,ORD-05549,2024-07-12,Decent product but packaging could be better.,3
FB-00108,ORD-00856,2025-05-01,Amazing product! Will buy again.,5
FB-00109,ORD-00589,2025-01-18,"Excellent build quality, highly recommend.",5
FB-00110,ORD-01172,2025-05-19,Satisfied with the purchase overall.,4
FB-00111,ORD-05414,2024-02-28,Amazing product! Will buy again.,5
FB-00112,ORD-07176,2026-03-19,"Great product, very happy with the purchase!",5
FB-00113,ORD-09316,2024-07-04,"Excellent build quality, highly recommend.",5
FB-00114,ORD-00614,2024-09-10,Amazing product! Will buy again.,5
FB-00115,ORD-00847,2025-03-13,Fast delivery and good product.,4
FB-00116,ORD-00885,2024-08-07,Good quality for the price.,4
FB-00117,ORD-08285,2026-02-16,Decent product but packaging could be better.,3
FB-00118,ORD-03049,2024-04-26,"Excellent build quality, highly recommend.",5
FB-00119,ORD-06847,2024-11-01,"Very good product, exceeded expectations.",5
FB-00120,ORD-00597,2024-05-10,"Product works well, good value for money.",3
FB-00121,ORD-03752,2026-01-01,"Excellent build quality, highly recommend.",5
FB-00122,ORD-01068,2025-03-14,Fast delivery and good product.,4
FB-00123,ORD-09080,2024-09-29,"Not satisfied, product did not match description.",2
FB-00124,ORD-08931,2026-03-24,"Not satisfied, product did not match description.",2
FB-00125,ORD-08128,2026-02-10,"Product works well, good value for money.",3
FB-00126,ORD-03144,2025-01-23,Decent product but packaging could be better.,3
FB-00127,ORD-09076,2025-02-09,"Great product, very happy with the purchase!",5
FB-00128,ORD-03931,2025-12-07,"Quality is average, expected better.",3
FB-00129,ORD-03700,2025-04-10,Decent product but packaging could be better.,3
FB-00130,ORD-05466,2025-07-02,Decent product but packaging could be better.,3
FB-00131,ORD-05320,2026-01-01,"Okay product, nothing special.",2
FB-00132,ORD-09224,2026-03-21,"Not satisfied, product did not match description.",2
FB-00133,ORD-07425,2025-08-18,"Poor quality, returned the item.",1
FB-00134,ORD-06165,2026-05-02,"Poor quality, returned the item.",1
FB-00135,ORD-05367,2026-03-18,Decent product but packaging could be better.,3
FB-00136,ORD-04510,2026-03-15,"Product works well, good value for money.",3
FB-00137,ORD-04810,2025-03-28,Satisfied with the purchase overall.,4
FB-00138,ORD-03520,2025-07-08,"Delivered on time, product as described.",5
FB-00139,ORD-01299,2024-12-11,"Quality is average, expected better.",3
FB-00140,ORD-02011,2025-08-04,"Excellent build quality, highly recommend.",5
FB-00141,ORD-08424,2024-04-25,"Great product, very happy with the purchase!",5
FB-00142,ORD-00402,2026-03-10,"Very good product, exceeded expectations.",5
FB-00143,ORD-07913,2025-12-02,Decent product but packaging could be better.,3
FB-00144,ORD-04797,2025-10-25,"Excellent build quality, highly recommend.",5
FB-00145,ORD-09344,2024-07-08,"Quality is average, expected better.",3
FB-00146,ORD-08145,2024-04-30,Decent product but packaging could be better.,3
FB-00147,ORD-03471,2025-12-12,"Very good product, exceeded expectations.",5
FB-00148,ORD-03092,2025-07-31,"Great product, very happy with the purchase!",5
FB-00149,ORD-03963,2026-05-04,Amazing product! Will buy again.,5
FB-00150,ORD-04507,2025-08-29,"Great product, very happy with the purchase!",5
FB-00151,ORD-08682,2024-03-01,Good quality for the price.,4
FB-00152,ORD-07608,2024-08-18,Good quality for the price.,4
FB-00153,ORD-02161,2024-05-28,"Excellent build quality, highly recommend.",5
FB-00154,ORD-02292,2024-09-12,Fast delivery and good product.,4
FB-00155,ORD-08482,2026-02-16,"Delivered on time, product as described.",5
FB-00156,ORD-01607,2024-03-24,Satisfied with the purchase overall.,4
FB-00157,ORD-04084,2024-02-19,Satisfied with the purchase overall.,4
FB-00158,ORD-00294,2025-01-24,"Delivered on time, product as described.",5
FB-00159,ORD-07891,2026-01-28,Decent product but packaging could be better.,3
FB-00160,ORD-05969,2024-11-16,Amazing product! Will buy again.,5
FB-00161,ORD-09811,2025-11-24,"Not satisfied, product did not match description.",2
FB-00162,ORD-08608,2026-05-29,"Excellent build quality, highly recommend.",5
FB-00163,ORD-08359,2026-01-15,"Delivered on time, product as described.",5
FB-00164,ORD-08169,2024-11-07,Satisfied with the purchase overall.,4
FB-00165,ORD-06008,2025-07-22,"Delivered on time, product as described.",5
FB-00166,ORD-01324,2026-03-05,Good quality for the price.,4
FB-00167,ORD-07804,2026-05-25,"Great product, very happy with the purchase!",5
FB-00168,ORD-00782,2026-03-08,"Great product, very happy with the purchase!",5
FB-00169,ORD-09739,2026-01-01,"Very good product, exceeded expectations.",5
FB-00170,ORD-03101,2024-09-23,"Excellent build quality, highly recommend.",5
FB-00171,ORD-02159,2025-05-27,"Great product, very happy with the purchase!",5
FB-00172,ORD-07313,2025-06-17,"Product works well, good value for money.",3
FB-00173,ORD-04466,2025-05-04,Satisfied with the purchase overall.,4
FB-00174,ORD-07734,2025-03-14,"Product works well, good value for money.",3
FB-00175,ORD-06953,2025-09-06,Satisfied with the purchase overall.,4
FB-00176,ORD-07134,2024-12-05,"Great product, very happy with the purchase!",5
FB-00177,ORD-00932,2024-04-16,"Not satisfied, product did not match description.",2
FB-00178,ORD-03001,2024-01-28,"Excellent build quality, highly recommend.",5
FB-00179,ORD-00397,2026-02-10,"Very good product, exceeded expectations.",5
FB-00180,ORD-08643,2026-02-08,"Product works well, good value for money.",3
FB-00181,ORD-04476,2026-03-25,Satisfied with the purchase overall.,4
FB-00182,ORD-06845,2025-08-08,"Excellent build quality, highly recommend.",5
FB-00183,ORD-09737,2026-04-26,Satisfied with the purchase overall.,4
FB-00184,ORD-04538,2026-02-09,Satisfied with the purchase overall.,4
FB-00185,ORD-02324,2024-02-25,Satisfied with the purchase overall.,4
FB-00186,ORD-01127,2025-05-26,"Very good product, exceeded expectations.",5
FB-00187,ORD-00577,2025-05-11,Decent product but packaging could be better.,3
FB-00188,ORD-07539,2026-01-13,"Delivered on time, product as described.",5
FB-00189,ORD-05178,2026-05-17,Decent product but packaging could be better.,3
FB-00190,ORD-04562,2025-07-23,"Great product, very happy with the purchase!",5
FB-00191,ORD-05694,2025-06-09,Decent product but packaging could be better.,3
FB-00192,ORD-03556,2026-05-26,"Okay product, nothing special.",2
FB-00193,ORD-09701,2025-01-05,Good quality for the price.,4
FB-00194,ORD-08488,2025-05-06,"Great product, very happy with the purchase!",5
FB-00195,ORD-06662,2024-09-03,"Great product, very happy with the purchase!",5
FB-00196,ORD-06897,2024-07-01,"Quality is average, expected better.",3
FB-00197,ORD-07845,2025-03-04,"Poor quality, returned the item.",1
FB-00198,ORD-03202,2025-06-03,"Quality is average, expected better.",3
FB-00199,ORD-02556,2025-07-15,"Quality is average, expected better.",3
FB-00200,ORD-07063,2024-02-04,Amazing product! Will buy again.,5
FB-00201,ORD-00031,2025-12-07,Fast delivery and good product.,4
FB-00202,ORD-03227,2025-08-01,"Excellent build quality, highly recommend.",5
FB-00203,ORD-02020,2025-10-19,"Product works well, good value for money.",3
FB-00204,ORD-04505,2025-01-11,"Quality is average, expected better.",3
FB-00205,ORD-06695,2025-05-07,"Excellent build quality, highly recommend.",5
FB-00206,ORD-08997,2025-11-19,"Quality is average, expected better.",3
FB-00207,ORD-01662,2025-11-03,"Quality is average, expected better.",3
FB-00208,ORD-06137,2024-10-16,"Great product, very happy with the purchase!",5
FB-00209,ORD-03374,2025-12-20,"Great product, very happy with the purchase!",5
FB-00210,ORD-09060,2025-03-16,"Not satisfied, product did not match description.",2
FB-00211,ORD-00890,2025-07-30,"Great product, very happy with the purchase!",5
FB-00212,ORD-00084,2026-02-26,Satisfied with the purchase overall.,4
FB-00213,ORD-09823,2025-08-21,"Great product, very happy with the purchase!",5
FB-00214,ORD-00939,2025-10-08,Amazing product! Will buy again.,5
FB-00215,ORD-06447,2025-05-12,"Product works well, good value for money.",3
FB-00216,ORD-01798,2026-02-17,Good quality for the price.,4
FB-00217,ORD-02712,2024-02-27,Fast delivery and good product.,4
FB-00218,ORD-00670,2024-09-23,"Great product, very happy with the purchase!",5
FB-00219,ORD-03431,2024-01-06,"Okay product, nothing special.",2
FB-00220,ORD-08216,2024-08-16,"Very good product, exceeded expectations.",5
FB-00221,ORD-05476,2026-02-07,"Quality is average, expected better.",3
FB-00222,ORD-01317,2025-04-06,Amazing product! Will buy again.,5
FB-00223,ORD-00892,2024-11-21,Amazing product! Will buy again.,5
FB-00224,ORD-04000,2024-04-07,Decent product but packaging could be better.,3
FB-00225,ORD-07931,2024-10-31,Good quality for the price.,4
FB-00226,ORD-01280,2026-02-19,"Great product, very happy with the purchase!",5
FB-00227,ORD-08400,2025-04-27,"Great product, very happy with the purchase!",5
FB-00228,ORD-07558,2025-09-25,Satisfied with the purchase overall.,4
FB-00229,ORD-08248,2025-01-31,"Great product, very happy with the purchase!",5
FB-00230,ORD-05953,2024-04-04,Satisfied with the purchase overall.,4
FB-00231,ORD-00546,2024-07-26,"Delivered on time, product as described.",5
FB-00232,ORD-06309,2024-08-17,Fast delivery and good product.,4
FB-00233,ORD-00610,2025-02-04,"Great product, very happy with the purchase!",5
FB-00234,ORD-09396,2025-07-11,"Quality is average, expected better.",3
FB-00235,ORD-04039,2025-04-04,"Great product, very happy with the purchase!",5
FB-00236,ORD-09544,2025-01-08,Satisfied with the purchase overall.,4
FB-00237,ORD-04265,2024-02-17,"Excellent build quality, highly recommend.",5
FB-00238,ORD-05218,2026-01-21,Satisfied with the purchase overall.,4
FB-00239,ORD-03783,2024-08-22,"Great product, very happy with the purchase!",5
FB-00240,ORD-08566,2024-03-21,Satisfied with the purchase overall.,4
FB-00241,ORD-08376,2024-02-08,Satisfied with the purchase overall.,4
FB-00242,ORD-06058,2025-10-23,Amazing product! Will buy again.,5
FB-00243,ORD-02824,2025-04-27,"Great product, very happy with the purchase!",5
FB-00244,ORD-05971,2024-09-18,Good quality for the price.,4
FB-00245,ORD-00282,2025-04-27,"Very good product, exceeded expectations.",5
FB-00246,ORD-09374,2025-03-13,Satisfied with the purchase overall.,4
FB-00247,ORD-01252,2025-05-10,"Not satisfied, product did not match description.",2
FB-00248,ORD-06197,2024-06-20,"Delivered on time, product as described.",5
FB-00249,ORD-06890,2024-02-05,"Quality is average, expected better.",3
FB-00250,ORD-00401,2025-07-15,Decent product but packaging could be better.,3
FB-00251,ORD-01397,2024-05-13,Amazing product! Will buy again.,5
FB-00252,ORD-08794,2026-04-05,Decent product but packaging could be better.,3
FB-00253,ORD-06601,2025-08-01,"Quality is average, expected better.",3
FB-00254,ORD-01314,2024-08-22,"Excellent build quality, highly recommend.",5
FB-00255,ORD-03988,2024-12-25,Good quality for the price.,4
FB-00256,ORD-07044,2025-12-12,"Delivered on time, product as described.",5
FB-00257,ORD-01453,2025-06-07,"Product works well, good value for money.",3
FB-00258,ORD-07602,2025-10-30,Satisfied with the purchase overall.,4
FB-00259,ORD-07013,2026-04-25,"Not satisfied, product did not match description.",2
FB-00260,ORD-00164,2025-12-30,Amazing product! Will buy again.,5
FB-00261,ORD-09338,2024-09-06,"Great product, very happy with the purchase!",5
FB-00262,ORD-07787,2024-01-13,Amazing product! Will buy again.,5
FB-00263,ORD-04074,2025-08-11,Fast delivery and good product.,4
FB-00264,ORD-06652,2025-11-29,"Not satisfied, product did not match description.",2
FB-00265,ORD-03513,2024-10-03,"Quality is average, expected better.",3
FB-00266,ORD-08770,2025-09-18,"Okay product, nothing special.",2
FB-00267,ORD-01765,2025-07-07,Fast delivery and good product.,4
FB-00268,ORD-02092,2024-10-19,"Excellent build quality, highly recommend.",5
FB-00269,ORD-06766,2024-07-13,"Quality is average, expected better.",3
FB-00270,ORD-09405,2026-01-25,Satisfied with the purchase overall.,4
FB-00271,ORD-09778,2026-05-23,"Great product, very happy with the purchase!",5
FB-00272,ORD-06991,2025-01-05,"Delivered on time, product as described.",5
FB-00273,ORD-05246,2026-01-18,Satisfied with the purchase overall.,4
FB-00274,ORD-07735,2025-03-28,Decent product but packaging could be better.,3
FB-00275,ORD-03118,2024-08-16,"Product works well, good value for money.",3
FB-00276,ORD-02925,2025-06-19,Amazing product! Will buy again.,5
FB-00277,ORD-09620,2025-11-16,Amazing product! Will buy again.,5
FB-00278,ORD-07551,2025-10-04,"Delivered on time, product as described.",5
FB-00279,ORD-02570,2026-04-15,"Delivered on time, product as described.",5
FB-00280,ORD-04818,2026-05-20,"Product works well, good value for money.",3
FB-00281,ORD-05442,2026-04-09,"Excellent build quality, highly recommend.",5
FB-00282,ORD-01785,2024-04-30,"Worst purchase ever, complete waste of money.",1
FB-00283,ORD-00677,2025-11-15,"Quality is average, expected better.",3
FB-00284,ORD-06334,2024-08-18,"Delivered on time, product as described.",5
FB-00285,ORD-09450,2025-07-16,"Great product, very happy with the purchase!",5
FB-00286,ORD-00047,2024-07-09,"Not satisfied, product did not match description.",2
FB-00287,ORD-05261,2025-12-26,"Excellent build quality, highly recommend.",5
FB-00288,ORD-01582,2025-01-06,Good quality for the price.,4
FB-00289,ORD-03075,2025-05-16,"Delivered on time, product as described.",5
FB-00290,ORD-06186,2025-06-09,"Not satisfied, product did not match description.",2
FB-00291,ORD-09672,2024-03-25,"Quality is average, expected better.",3
FB-00292,ORD-07017,2026-02-07,"Great product, very happy with the purchase!",5
FB-00293,ORD-07288,2025-04-30,"Quality is average, expected better.",3
FB-00294,ORD-06125,2026-02-10,"Product works well, good value for money.",3
FB-00295,ORD-06268,2025-01-04,Amazing product! Will buy again.,5
FB-00296,ORD-03917,2025-02-22,"Great product, very happy with the purchase!",5
FB-00297,ORD-00117,2025-04-22,"Delivered on time, product as described.",5
FB-00298,ORD-07809,2024-09-16,Amazing product! Will buy again.,5
FB-00299,ORD-03387,2024-04-22,Decent product but packaging could be better.,3
FB-00300,ORD-06582,2025-02-10,"Okay product, nothing special.",2
FB-00301,ORD-05369,2025-11-13,"Not satisfied, product did not match description.",2
FB-00302,ORD-04213,2024-04-18,"Great product, very happy with the purchase!",5
FB-00303,ORD-03800,2025-01-10,Decent product but packaging could be better.,3
FB-00304,ORD-02723,2025-09-09,"Delivered on time, product as described.",5
FB-00305,ORD-01950,2024-12-04,"Poor quality, returned the item.",1
FB-00306,ORD-01878,2025-06-17,Good quality for the price.,4
FB-00307,ORD-00624,2024-06-10,Fast delivery and good product.,4
FB-00308,ORD-05075,2024-08-15,"Not satisfied, product did not match description.",2
FB-00309,ORD-03238,2025-02-13,"Product works well, good value for money.",3
FB-00310,ORD-04414,2024-12-13,"Product works well, good value for money.",3
FB-00311,ORD-00321,2025-04-30,"Worst purchase ever, complete waste of money.",1
FB-00312,ORD-07703,2026-03-08,Fast delivery and good product.,4
FB-00313,ORD-01289,2026-04-12,"Okay product, nothing special.",2
FB-00314,ORD-01603,2024-03-23,Amazing product! Will buy again.,5
FB-00315,ORD-03076,2025-08-27,"Excellent build quality, highly recommend.",5
FB-00316,ORD-00753,2024-09-20,Good quality for the price.,4
FB-00317,ORD-03131,2025-02-28,"Delivered on time, product as described.",5
FB-00318,ORD-02089,2026-04-14,"Very good product, exceeded expectations.",5
FB-00319,ORD-08622,2024-07-01,"Very good product, exceeded expectations.",5
FB-00320,ORD-09249,2025-03-08,Good quality for the price.,4
FB-00321,ORD-01372,2024-08-30,"Delivered on time, product as described.",5
FB-00322,ORD-06145,2024-10-19,"Quality is average, expected better.",3
FB-00323,ORD-08173,2026-01-21,"Product works well, good value for money.",3
FB-00324,ORD-06781,2024-11-12,"Product works well, good value for money.",3
FB-00325,ORD-09718,2025-10-12,"Okay product, nothing special.",2
FB-00326,ORD-01457,2026-04-23,"Product works well, good value for money.",3
FB-00327,ORD-01947,2024-07-21,"Product works well, good value for money.",3
FB-00328,ORD-03552,2026-03-03,"Quality is average, expected better.",3
FB-00329,ORD-01663,2025-02-28,Satisfied with the purchase overall.,4
FB-00330,ORD-08756,2025-09-08,"Product works well, good value for money.",3
FB-00331,ORD-03514,2025-09-01,"Not satisfied, product did not match description.",2
FB-00332,ORD-04459,2024-11-26,"Okay product, nothing special.",2
FB-00333,ORD-00198,2024-08-01,"Okay product, nothing special.",2
FB-00334,ORD-09819,2025-08-29,"Quality is average, expected better.",3
FB-00335,ORD-04177,2026-06-11,"Delivered on time, product as described.",5
FB-00336,ORD-02629,2024-04-13,Fast delivery and good product.,4
FB-00337,ORD-02454,2025-03-17,"Not satisfied, product did not match description.",2
FB-00338,ORD-02447,2025-10-25,"Excellent build quality, highly recommend.",5
FB-00339,ORD-06796,2024-08-27,"Quality is average, expected better.",3
FB-00340,ORD-09719,2024-02-24,Decent product but packaging could be better.,3
FB-00341,ORD-03958,2026-01-23,Amazing product! Will buy again.,5
FB-00342,ORD-03484,2024-04-26,"Excellent build quality, highly recommend.",5
FB-00343,ORD-08932,2026-02-01,Decent product but packaging could be better.,3
FB-00344,ORD-05383,2025-08-13,Amazing product! Will buy again.,5
FB-00345,ORD-06495,2024-03-31,Good quality for the price.,4
FB-00346,ORD-01464,2024-04-09,"Product works well, good value for money.",3
FB-00347,ORD-05855,2026-05-11,Decent product but packaging could be better.,3
FB-00348,ORD-06869,2025-01-03,"Excellent build quality, highly recommend.",5
FB-00349,ORD-09927,2025-09-12,"Great product, very happy with the purchase!",5
FB-00350,ORD-01992,2026-02-24,"Great product, very happy with the purchase!",5
FB-00351,ORD-09817,2024-04-23,"Product works well, good value for money.",3
FB-00352,ORD-02791,2024-06-29,"Product works well, good value for money.",3
FB-00353,ORD-04260,2024-11-11,"Okay product, nothing special.",2
FB-00354,ORD-02812,2025-04-10,"Excellent build quality, highly recommend.",5
FB-00355,ORD-07146,2025-03-29,"Great product, very happy with the purchase!",5
FB-00356,ORD-05100,2024-11-24,Decent product but packaging could be better.,3
FB-00357,ORD-06056,2024-11-21,"Great product, very happy with the purchase!",5
FB-00358,ORD-09484,2025-06-16,"Delivered on time, product as described.",5
FB-00359,ORD-06670,2026-04-26,"Quality is average, expected better.",3
FB-00360,ORD-06198,2024-12-27,Decent product but packaging could be better.,3
FB-00361,ORD-05139,2024-01-27,"Excellent build quality, highly recommend.",5
FB-00362,ORD-01301,2024-02-18,Amazing product! Will buy again.,5
FB-00363,ORD-04601,2024-10-19,"Excellent build quality, highly recommend.",5
FB-00364,ORD-00447,2025-08-14,Good quality for the price.,4
FB-00365,ORD-08266,2025-01-19,"Delivered on time, product as described.",5
FB-00366,ORD-07575,2025-11-17,"Worst purchase ever, complete waste of money.",1
FB-00367,ORD-09880,2026-05-22,"Delivered on time, product as described.",5
FB-00368,ORD-02828,2025-06-28,"Excellent build quality, highly recommend.",5
FB-00369,ORD-08218,2026-03-29,Good quality for the price.,4
FB-00370,ORD-02206,2025-04-11,"Quality is average, expected better.",3
FB-00371,ORD-02006,2025-08-10,"Delivered on time, product as described.",5
FB-00372,ORD-03608,2024-11-20,Good quality for the price.,4
FB-00373,ORD-02583,2026-05-10,"Product works well, good value for money.",3
FB-00374,ORD-03278,2025-03-22,"Poor quality, returned the item.",1
FB-00375,ORD-03380,2024-12-13,"Product works well, good value for money.",3
FB-00376,ORD-01677,2025-08-24,Satisfied with the purchase overall.,4
FB-00377,ORD-00675,2025-07-28,"Very good product, exceeded expectations.",5
FB-00378,ORD-05956,2024-05-20,"Delivered on time, product as described.",5
FB-00379,ORD-00581,2025-02-10,Satisfied with the purchase overall.,4
FB-00380,ORD-06487,2026-03-28,Good quality for the price.,4
FB-00381,ORD-07060,2025-10-23,Satisfied with the purchase overall.,4
FB-00382,ORD-05317,2025-12-25,Satisfied with the purchase overall.,4
FB-00383,ORD-07185,2024-01-14,"Poor quality, returned the item.",1
FB-00384,ORD-08079,2024-02-22,Decent product but packaging could be better.,3
FB-00385,ORD-02082,2024-08-02,Good quality for the price.,4
FB-00386,ORD-05098,2024-04-12,"Worst purchase ever, complete waste of money.",1
FB-00387,ORD-05686,2025-10-06,"Delivered on time, product as described.",5
FB-00388,ORD-07541,2024-04-15,"Delivered on time, product as described.",5
FB-00389,ORD-09059,2024-05-14,"Okay product, nothing special.",2
FB-00390,ORD-02512,2026-04-04,"Quality is average, expected better.",3
FB-00391,ORD-09349,2024-02-08,Fast delivery and good product.,4
FB-00392,ORD-01948,2024-08-29,"Delivered on time, product as described.",5
FB-00393,ORD-08789,2025-12-10,"Great product, very happy with the purchase!",5
FB-00394,ORD-01938,2025-10-23,Decent product but packaging could be better.,3
FB-00395,ORD-06347,2024-06-12,"Delivered on time, product as described.",5
